BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DecadeBuilt,NoBuildings,NoFloors,pct_SteamUse,pct_Electricity,pct_NaturalGas,pct_OtherFuelUse
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1970,1.0,1.0,44000,13.0,175.4,5600945.0,0.0,1036506.0,3444546.0,0.0,190.17,4.22,1970s,,0-1,0.0,18.51,61.5,0.0
NonResidential,Retail Store,North,1966,1.0,1.0,41615,63.0,167.9,2225403.0,0.0,2063298.0,0.0,0.0,14.38,0.13,1960s,,0-1,0.0,92.72,0.0,0.0
NonResidential,Residence Hall,Northeast,1926,1.0,4.0,23616,49.0,158.8,2096700.0,0.0,740501.0,1120430.0,0.0,64.67,2.6,1920s,,2-5,0.0,35.32,53.44,0.0
NonResidential,Refrigerated Warehouse,Greater duwamish,1961,1.0,1.0,25577,,101.0,945663.0,0.0,795546.0,184439.0,0.0,15.34,0.47,1960s,,0-1,0.0,84.13,19.5,0.0
NonResidential,Hotel,Greater duwamish,1992,1.0,3.0,22452,78.0,122.0,1381137.0,0.0,589893.0,764350.0,0.0,44.71,1.88,1990s,,2-5,0.0,42.71,55.34,0.0
Nonresidential COS,Other,Greater duwamish,2012,1.0,2.0,137138,,125.3,5529936.0,0.0,5396493.0,0.0,0.0,37.62,0.11,2010s,,2-5,0.0,97.59,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1964,1.0,1.0,33462,1.0,201.5,2147013.0,0.0,2147102.0,0.0,0.0,14.97,0.17,1960s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Central,1971,1.0,2.0,39953,92.0,142.1,1721208.0,0.0,1182519.0,370175.0,0.0,27.9,0.57,1970s,,2-5,0.0,68.7,21.51,0.0
NonResidential,Other,East,1945,1.0,0.0,274568,,196.1,26201518.0,13364736.0,11882142.0,0.0,0.0,1114.43,3.87,1940s,,,51.01,45.35,0.0,0.0
NonResidential,Retail Store,Northeast,1953,1.0,4.0,33910,72.0,165.4,1972811.0,0.0,1351956.0,501371.0,0.0,36.05,0.89,1950s,,2-5,0.0,68.53,25.41,0.0
NonResidential,Non-Refrigerated Warehouse,Delridge,1970,1.0,1.0,70400,1.0,488.4,14490864.0,0.0,9170509.0,4894474.0,0.0,323.87,4.04,1970s,,0-1,0.0,63.28,33.78,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1956,1.0,1.0,22509,73.0,18.4,132105.0,0.0,132110.0,0.0,0.0,0.92,0.02,1950s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1989,1.0,2.0,23472,,122.0,1050918.0,0.0,868385.0,190637.0,0.0,16.18,0.53,1990s,,2-5,0.0,82.63,18.14,0.0
